 Incident particle is a   Muon with M =   105.65839 MeV
 Index =   82:  lead
     Absorber with Z =  82,  A = 207.2(1), density = 11.350          
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0 
                 0.0936  3.1608  0.3776  3.8073  823.0  6.2018 0.14
 ( Restricted energy loss for Tcut = 0.05 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
  1.700E+02 2.546E+02 1.132E+00 8.673E-05 0.000E+00 1.000E-04 1.868E-04 1.132E+00 1.197E+02 -0.0101 8.531E-01
  2.000E+02 2.868E+02 1.124E+00 1.221E-04 0.000E+00 1.109E-04 2.331E-04 1.124E+00 1.463E+02 -0.0114 8.398E-01
  2.261E+02 3.145E+02 1.122E+00 1.864E-04 0.000E+00 1.291E-04 3.155E-04 1.124E+00  Minimum ionization
  2.500E+02 3.396E+02 1.123E+00 1.864E-04 0.000E+00 1.291E-04 3.155E-04 1.124E+00 1.908E+02 -0.0140 8.287E-01
  3.000E+02 3.917E+02 1.130E+00 2.565E-04 0.000E+00 1.472E-04 4.037E-04 1.131E+00 2.352E+02 -0.0168 8.248E-01
  3.500E+02 4.432E+02 1.140E+00 3.317E-04 0.000E+00 1.654E-04 4.971E-04 1.141E+00 2.792E+02 -0.0197 8.245E-01
  4.000E+02 4.945E+02 1.151E+00 4.114E-04 0.000E+00 1.835E-04 5.949E-04 1.152E+00 3.228E+02 -0.0227 8.259E-01
  4.500E+02 5.455E+02 1.163E+00 4.952E-04 0.000E+00 2.016E-04 6.968E-04 1.164E+00 3.660E+02 -0.0256 8.283E-01
  5.000E+02 5.964E+02 1.175E+00 5.827E-04 0.000E+00 2.198E-04 8.024E-04 1.175E+00 4.088E+02 -0.0285 8.313E-01
  5.500E+02 6.471E+02 1.186E+00 6.735E-04 0.000E+00 2.379E-04 9.115E-04 1.187E+00 4.511E+02 -0.0314 8.344E-01
  6.000E+02 6.977E+02 1.197E+00 7.675E-04 0.000E+00 2.561E-04 1.024E-03 1.198E+00 4.930E+02 -0.0341 8.377E-01
  7.000E+02 7.987E+02 1.218E+00 9.641E-04 0.000E+00 2.924E-04 1.257E-03 1.219E+00 5.758E+02 -0.0395 8.441E-01
  8.000E+02 8.995E+02 1.237E+00 1.171E-03 0.000E+00 3.287E-04 1.500E-03 1.238E+00 6.572E+02 -0.0446 8.503E-01
  9.000E+02 1.000E+03 1.254E+00 1.387E-03 0.000E+00 3.650E-04 1.752E-03 1.256E+00 7.374E+02 -0.0494 8.560E-01
  1.000E+03 1.101E+03 1.270E+00 1.611E-03 0.000E+00 4.012E-04 2.012E-03 1.272E+00 8.165E+02 -0.0540 8.613E-01
  1.200E+03 1.301E+03 1.298E+00 2.081E-03 0.000E+00 4.738E-04 2.555E-03 1.301E+00 9.719E+02 -0.0626 8.706E-01
  1.400E+03 1.502E+03 1.322E+00 2.576E-03 0.000E+00 5.464E-04 3.123E-03 1.325E+00 1.124E+03 -0.0705 8.786E-01
  1.700E+03 1.803E+03 1.353E+00 3.359E-03 4.357E-04 6.553E-04 4.450E-03 1.357E+00 1.348E+03 -0.0813 8.886E-01
  2.000E+03 2.103E+03 1.379E+00 4.184E-03 1.042E-03 7.670E-04 5.993E-03 1.385E+00 1.567E+03 -0.0909 8.968E-01
